"","year","recvDeployName","motusTagID","mfgID","meanLength","totVisits","nVisits","sdVisitLength","seVisits"
"1",2017,"Exxon Fields",23209,84,6.21301305625174,6,6,5.9869747924662,2.44417222407457
"2",2017,"Exxon Fields",23212,87,3.95375256753183,37,37,5.38384537139189,0.885098726865461
"3",2017,"Exxon Fields",23214,89,2.98151912598011,122,122,4.14049403168975,0.374862716143627
"4",2017,"Exxon Fields",23216,91,5.37539084091365,107,107,10.3192070889701,0.997595403092604
"5",2017,"Exxon Fields",23217,92,3.07663934363259,33,33,9.89416453455714,1.7223529698157
"6",2017,"Exxon Fields",23218,93,5.29726598593327,333,333,8.21397670179013,0.450123150508032
"7",2017,"Exxon Fields",23219,94,3.78474407758353,159,159,8.17792621591378,0.648551735341641
"8",2017,"Exxon Fields",23225,100,3.02701235144227,90,90,4.22173913952647,0.445010378932768
"9",2017,"Exxon Fields",23226,101,5.24476861159007,42,42,8.10965127964323,1.25134635947331
"10",2017,"Exxon Fields",23227,102,3.30902353525162,33,33,5.43874629756317,0.946764206817528
"11",2017,"Exxon Fields",23245,121,2.66053480860965,61,61,4.81328252172689,0.616277676317453
"12",2017,"Exxon Fields",23246,122,5.26497946424144,84,84,7.8071316730944,0.851827901248627
"13",2017,"Exxon Fields",23248,124,7.63859061910993,35,35,13.0919731248027,2.21294735784369
"14",2017,"Exxon Fields",23249,126,3.89992333309991,14,14,6.42650301781493,1.71755517769516
"15",2017,"Exxon Fields",23251,129,3.18484235380139,131,131,6.19246477808473,0.541038159734322
"16",2017,"Exxon Fields",23257,135,7.36427904883396,191,191,10.1521195694707,0.73458159103612
"17",2017,"Exxon Fields",23258,137,2.55344729249676,16,16,3.47291503897395,0.868228759743488
"18",2017,"Exxon Fields",23259,138,2.97144253616748,23,23,4.70269236083363,0.980579142109905
"19",2017,"Exxon Fields",23261,141,5.74407165645334,163,163,8.39767782280662,0.65775689103454
"20",2017,"Exxon Fields",23262,142,8.31081797598846,84,84,9.3181653134606,1.01669518778679
"21",2017,"Exxon Fields",23270,136,5.63448207741198,69,69,7.15081258535217,0.860856673344076
"22",2017,"Grand_Isle",23209,84,1.12963055504693,3,3,0.678832625752871,0.391924199213121
"23",2017,"Grand_Isle",23212,87,0.564826904024397,7,7,0.266253006285123,0.100634177207679
"24",2017,"Grand_Isle",23214,89,1.60409053325653,25,25,1.27244010099718,0.254488020199436
"25",2017,"Grand_Isle",23216,91,2.13042776291831,38,38,1.98577033680497,0.322134486075815
"26",2017,"Grand_Isle",23217,92,0.753099999162886,3,3,0.326109083509541,0.188279167149416
"27",2017,"Grand_Isle",23218,93,1.58335009542971,122,122,2.63190098636468,0.238281119310567
"28",2017,"Grand_Isle",23219,94,1.61078824091841,18,18,1.71978147098099,0.405356380096545
"29",2017,"Grand_Isle",23225,100,1.24259699953927,15,15,2.20229975785804,0.568631352369388
"30",2017,"Grand_Isle",23226,101,0.439307220776876,3,3,0.108697255291271,0.0627563896025889
"31",2017,"Grand_Isle",23227,102,0.658934998512268,2,2,0.66560903909936,0.470656665166219
"32",2017,"Grand_Isle",23245,121,8.54472487186774,13,13,13.2012173578036,3.66135892939279
"33",2017,"Grand_Isle",23246,122,2.76920493046443,24,24,4.0954587858213,0.835982023988377
"34",2017,"Grand_Isle",23248,124,3.47264203760359,9,9,5.32863312149296,1.77621104049765
"35",2017,"Grand_Isle",23249,126,0.753099165360133,2,2,0.266266949820953,0.188279165824254
"36",2017,"Grand_Isle",23251,129,2.46323875023259,12,12,2.67762753525228,0.772964489133728
"37",2017,"Grand_Isle",23257,135,3.24662440750334,45,45,5.36731111800535,0.800111501083358
"38",2017,"Grand_Isle",23258,137,5.83641500075658,1,1,NA,NA
"39",2017,"Grand_Isle",23259,138,2.00825277831819,3,3,2.0306838935249,1.17241589256564
"40",2017,"Grand_Isle",23261,141,4.05511076878279,26,26,4.08764203037098,0.801652556824756
"41",2017,"Grand_Isle",23262,142,5.08326738051006,7,7,9.75618855835639,3.68749266703783
"42",2017,"Grand_Isle",23270,136,2.79713595254081,7,7,2.63000936309245,0.994050102930571
"43",2017,"East Grand Terre",23218,93,1.50616666475932,2,2,1.06499709373075,0.75306666692098
"44",2017,"East Grand Terre",23248,124,4.2361933350563,2,2,4.92586375962664,3.48311166763306
"45",2017,"East Grand Terre",23257,135,3.01237999995549,1,1,NA,NA
"46",2017,"East Grand Terre",23259,138,1.50619999965032,1,1,NA,NA
"47",2017,"Wisner",23216,91,5.68576000054677,5,5,9.11939037025709,4.07831535625037
"48",2017,"Wisner",23251,129,1.88274000088374,1,1,NA,NA
"49",2017,"Wisner",23261,141,5.27163533329964,10,10,7.44730699592993,2.35504525416449
"50",2017,"Scenic Galveston",23270,136,1.00383333100213,3,3,0.28846251572732,0.166543911106285
"51",2017,"Quintana",23270,136,0.564996667702993,1,1,NA,NA
"52",2017,"San Bernard National Wildlife Refuge Headquarters",23270,136,0.752449997266134,1,1,NA,NA
"53",2017,"San Bernard NWR (Big Pond Unit)",23270,136,1.22327166795731,2,2,0.13198383953833,0.0933266679445903
"54",2018,"Exxon Fields",28520,283,3.0880710075992,129,129,5.96178098655237,0.52490554729249
"55",2018,"Exxon Fields",28521,284,3.80692729173285,176,176,6.30962812946149,0.475606115274904
"56",2018,"Exxon Fields",28522,289,6.25969145894051,8,8,9.74694016011601,3.44606374151876
"57",2018,"Exxon Fields",28523,290,5.00674626169918,214,214,8.2557958453806,0.564354585629086
"58",2018,"Exxon Fields",28524,293,4.51391612392987,129,129,8.48990811316069,0.747494729285359
"59",2018,"Exxon Fields",28525,296,4.12859683564947,158,158,5.60259239053541,0.445718318655796
"60",2018,"Exxon Fields",28526,306,3.58758436609322,71,71,6.23077763589938,0.739457261456984
"61",2018,"Exxon Fields",28528,310,6.60089354167382,16,16,6.80676777076766,1.70169194269191
"62",2018,"Exxon Fields",28529,313,6.29568848025565,34,34,8.17482111422018,1.40197025488187
"63",2018,"Exxon Fields",28592,298,2.63564850012461,10,10,4.77587612673978,1.51026463833207
"64",2018,"Exxon Fields",28593,303,4.66246815623967,47,47,7.33402087997715,1.06977689330325
"65",2018,"Exxon Fields",28595,282,5.09776531886363,115,115,7.65737025659058,0.714053458274708
"66",2018,"Exxon Fields",28598,287,5.00848141503784,53,53,8.29663113275621,1.13962993126964
"67",2018,"Exxon Fields",28600,291,4.40215736071269,60,60,6.0433568561352,0.780194015300002
"68",2018,"Exxon Fields",28602,294,3.58885499975138,95,95,4.68885674794844,0.48106655194235
"69",2018,"Exxon Fields",28603,295,3.74866543847915,57,57,7.12923165123552,0.944289800307369
"70",2018,"Exxon Fields",28604,297,4.34657772529359,170,170,7.30518354604228,0.560282001691831
"71",2018,"Exxon Fields",28605,299,4.88665559159385,93,93,5.94862098267289,0.616843260929162
"72",2018,"Exxon Fields",28606,300,4.54584131129583,75,75,6.75005127283433,0.779428783882935
"73",2018,"Exxon Fields",28607,301,3.97189843171562,51,51,8.84259688541741,1.23821123097381
"74",2018,"Exxon Fields",28608,302,4.4930961943335,60,60,8.21467175351893,1.06050956319798
"75",2018,"Exxon Fields",28609,304,5.38659736327271,67,67,10.3588270184562,1.26553214102787
"76",2018,"Exxon Fields",28611,307,5.69649850592531,116,116,9.1793499506985,0.852281246670232
"77",2018,"Exxon Fields",28615,305,5.21273440802539,45,45,6.71575422977875,1.00112553186447
"78",2018,"Grand_Isle",28520,283,1.1564666668574,7,7,1.31077191828791,0.495425217330983
"79",2018,"Grand_Isle",28521,284,2.76627761912184,49,49,3.79318760457424,0.541883943510606
"80",2018,"Grand_Isle",28522,289,1.17665375173092,4,4,1.60756744802357,0.803783724011786
"81",2018,"Grand_Isle",28523,290,0.97268160485927,54,54,1.76935590360071,0.240778840955711
"82",2018,"Grand_Isle",28524,293,0.988378333051999,12,12,0.700396390344418,0.202187022252396
"83",2018,"Grand_Isle",28525,296,0.958411969560565,11,11,0.950482518823452,0.286581262248118
"84",2018,"Grand_Isle",28526,306,6.28109136422475,11,11,9.16287049891914,2.76270940432103
"85",2018,"Grand_Isle",28528,310,1.60019833246867,2,2,1.46433800570719,1.03544333378474
"86",2018,"Grand_Isle",28529,313,2.44740562538306,8,8,2.53978506764778,0.897949622045041
"87",2018,"Grand_Isle",28593,303,4.2224271433694,7,7,4.41893970570916,1.67020221712791
"88",2018,"Grand_Isle",28595,282,1.89766140047709,25,25,1.53225075150576,0.306450150301151
"89",2018,"Grand_Isle",28598,287,2.97452716708183,10,10,4.10144139778022,1.29698965066902
"90",2018,"Grand_Isle",28600,291,1.59297179442186,13,13,1.77372950625582,0.491944052585292
"91",2018,"Grand_Isle",28602,294,1.69434708406528,8,8,0.98081063665775,0.346768926120295
"92",2018,"Grand_Isle",28603,295,1.0668205552631,3,3,1.19558367115706,0.690270554381248
"93",2018,"Grand_Isle",28604,297,0.878527499900924,12,12,0.980962777472148,0.283179561819274
"94",2018,"Grand_Isle",28605,299,1.18838515654206,32,32,1.16487216739265,0.205922252194704
"95",2018,"Grand_Isle",28606,300,0.56476749976476,10,10,0.319996488892167,0.101191774815602
"96",2018,"Grand_Isle",28607,301,0.376549166440964,2,2,0.26625516556211,0.188270833094915
"97",2018,"Grand_Isle",28608,302,8.62850861152013,6,6,13.5480186219538,5.53095544158522
"98",2018,"Grand_Isle",28609,304,2.75335322991014,16,16,2.9180874531883,0.729521863297075
"99",2018,"Grand_Isle",28611,307,10.2736306546699,28,28,21.3951062766716,4.0432950344193
"100",2018,"Grand_Isle",28615,305,0.753033749262492,4,4,0.343701688637465,0.171850844318732
"101",2018,"East Grand Terre",28522,289,3.98485833340221,6,6,4.52362388804348,1.84676171899524
"102",2018,"East Grand Terre",28523,290,3.51421055528853,3,3,2.73031439082095,1.57634774851279
"103",2018,"East Grand Terre",28528,310,7.71864500045776,1,1,NA,NA
"104",2018,"East Grand Terre",28529,313,6.96567722029156,3,3,9.05030263935191,5.2251946650774
"105",2018,"East Grand Terre",28595,282,2.44742666482925,1,1,NA,NA
"106",2018,"East Grand Terre",28600,291,3.01219999790192,1,1,NA,NA
"107",2018,"East Grand Terre",28602,294,2.51014388799667,3,3,0.434777471324116,0.251018890106563
"108",2018,"East Grand Terre",28605,299,2.19634916649924,6,6,1.89251698305436,0.772616823005769
"109",2018,"East Grand Terre",28608,302,1.88256583412488,2,2,0.532476155649657,0.376517500480016
"110",2018,"East Grand Terre",28611,307,5.83609166701635,5,5,7.43807603718923,3.32640872819347
"111",2018,"East Grand Terre",28615,305,6.16551750004291,4,4,5.15431465764419,2.57715732882209
"112",2018,"Bolivar_Flats",28520,283,0.564368335405986,1,1,NA,NA
